EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,RewMean,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
691.65,-79.57418,2,233,-0.14690647,351.0651557445526,138924,0.0,1.4138082,0.9916030988097191,0.014977263,0.013107531,0.013107531
715.4,-76.94917,1,234,-0.13969837,353.7258765697479,140275,0.0,1.4664618,0.9510384388267994,0.008564116,0.01248772,0.01248772
753.075,-75.19686,2,236,-0.12870118,356.40896821022034,142550,0.0,1.4248252,0.768935039639473,0.01465385,0.004270274,0.004270274
773.55,-75.6866,1,237,-0.12718576,359.11755537986755,144216,0.0,1.3975518,0.8963702544569969,0.0050290646,0.01263256,0.01263256
813.375,-76.9315,1,238,-0.12163172,361.7915151119232,146195,0.0,1.3772078,0.9572785384953022,0.021031726,0.009684999,0.009684999
850.925,-78.6865,1,239,-0.116593935,364.45806789398193,148094,0.0,1.3177686,0.7366728782653809,0.01000255,0.0075219674,0.0075219674
903.775,-76.97145,2,241,-0.105139896,367.1352188587189,150972,0.0,1.3275844,0.9459196887910366,0.0061084516,0.012286391,0.012286391
936.65,-78.25891,2,243,-0.09621562,369.8119056224823,153023,0.0,1.3958347,0.4416080117225647,0.019036788,0.016480355,0.016480355
954.025,-79.99642,1,244,-0.09577892,372.5102336406708,154679,0.0,1.3860757,0.9386065416038036,0.006394536,0.00675501,0.00675501
985.425,-82.13641,1,245,-0.09091637,375.1875469684601,156300,0.0,1.3837192,0.8507973849773407,0.019431647,0.01789673,0.01789673
1025.075,-80.1014,1,246,-0.0840981,377.72866654396057,158301,0.0,1.3816918,0.9285989701747894,0.005299083,0.013991473,0.013991473
1050.25,-79.61892,2,248,-0.07868056,380.3624005317688,161192,0.0,1.3374416,0.9855525381863117,0.016544666,0.007647826,0.007647826
1056.0,-79.193924,1,249,-0.07824705,383.03806591033936,162591,0.0,1.348286,0.9344228059053421,0.004273373,0.0061514173,0.0061514173
1099.075,-76.50138,2,251,-0.07033969,385.7204957008362,165323,0.0,1.3720987,0.9822552669793367,0.0063801236,0.0063733347,0.0063733347
1116.925,-76.28636,1,252,-0.06967501,388.3992328643799,166692,0.0,1.4471027,0.9878491926938295,0.01748234,0.019587561,0.019587561
1078.3,-86.42389,5,257,-0.09757279,391.16218852996826,169607,0.0,1.414826,0.8083047419786453,0.012243435,0.014449015,0.014449015
1065.65,-96.158875,4,261,-0.11947094,393.85804200172424,171790,0.0,1.3826821,0.9453419633209705,0.015328628,0.007894783,0.007894783
1080.75,-101.66884,2,263,-0.124458395,396.5138518810272,173754,0.0,1.408988,0.9413647875189781,0.008316847,0.0029991076,0.0029991076
1087.575,-103.94169,2,265,-0.12690075,399.2133800983429,175618,0.0,1.4139302,0.9642023518681526,0.0078029903,0.0060913865,0.0060913865
1104.025,-109.58665,2,267,-0.13247435,401.89306259155273,177463,0.0,1.428153,0.9899184517562389,0.008246096,0.0084948065,0.0084948065
1102.725,-109.45665,2,269,-0.1325286,404.5909376144409,179417,0.0,1.448985,0.9943481180816889,0.010754036,0.01367227,0.01367227
1104.5,-109.634155,3,272,-0.13244417,407.2738604545593,182232,0.0,1.4378078,0.9966560548637062,0.014836848,0.01539463,0.01539463
1118.125,-106.99666,1,273,-0.12918022,409.9541401863098,183649,0.0,1.4328719,0.9821330606937408,0.0053874254,0.0069562932,0.0069562932
1135.35,-105.71912,1,274,-0.1284596,489.37741327285767,185689,0.0,1.3769029,0.9838250391185284,0.010170506,0.0065595177,0.0065595177
1094.05,-104.66667,3,277,-0.13710134,492.1872971057892,187978,0.0,1.3983047,0.30194270610809326,0.007507298,0.0028098263,0.0028098263
1077.15,-100.71426,1,278,-0.13517165,495.0538709163666,189281,0.0,1.3879067,0.544272780418396,0.004432733,0.0034179357,0.0034179357
1030.575,-96.05678,3,281,-0.13690002,497.91955494880676,192195,0.0,1.3551934,0.6243151128292084,0.012672955,0.005054944,0.005054944
953.625,-91.36182,4,285,-0.14929941,500.6406784057617,194445,0.0,1.4143758,0.8512178212404251,0.007303604,0.0027851332,0.0027851332
879.1,-93.9093,3,288,-0.1625285,503.46205735206604,196356,0.0,1.4011127,0.849928542971611,0.008636085,0.004289471,0.004289471
