obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_std,total/episodes,total/epochs,total/steps,train/loss_actor,train/loss_critic
0.0,1.0,0.2,-9.38341999053955,0.03707529604434967,-1.0,0.0,-9.370977401733398,0.03972756862640381,0.5723331570625305,0.4038538634777069,1900.4297520661157,121.0,-232.58831787109375,84.78585815429688,121.0,115,230000,11.458057403564453,0.3542318642139435
0.0,1.0,0.2,-9.553098678588867,0.05563011392951012,-1.0,0.0,-9.43333625793457,0.058359548449516296,-0.9996063709259033,0.00010718011617427692,1901.2459016393443,122.0,-232.32122802734375,84.48876953125,122.0,116,232000,11.209704399108887,1.505284309387207
0.0,1.0,0.19605920988138417,-9.75281810760498,0.02718440815806389,-1.0,0.0,-9.72150993347168,0.03257673978805542,0.8488932847976685,0.46569907665252686,1902.0487804878048,123.0,-232.05848693847656,84.19464111328125,123.0,117,234000,10.987339973449707,0.5102522373199463
0.0,1.0,0.19605920988138417,-9.473480224609375,0.04350937157869339,-1.0,0.0,-9.420981407165527,0.05746765062212944,-0.8998269438743591,0.030868060886859894,1902.8387096774193,124.0,-233.47286987304688,85.30905151367188,124.0,118,236000,11.690120697021484,2.925482749938965
0.0,1.0,0.19605920988138417,-9.181766510009766,0.06885639578104019,-1.0,0.0,-9.131543159484863,0.07806824147701263,-0.9999861121177673,4.2675765143940225e-06,1903.616,125.0,-233.2051239013672,85.01941680908203,125.0,119,238000,11.348140716552734,1.35848069190979
0.0,1.0,0.18105739093859663,-9.283435821533203,0.09002920240163803,-1.0,0.0,-9.29156494140625,0.08955896645784378,-1.0,1.2287812012345967e-07,1904.3809523809523,126.0,-232.94161987304688,84.73260498046875,126.0,120,240000,11.332474708557129,15.363542556762695
0.0,1.0,0.19219606889656324,-9.913707733154297,0.007094815839082003,-1.0,0.0,-9.927626609802246,0.007264130748808384,-0.9987170696258545,0.00032880547223612666,1905.1338582677165,127.0,-232.68226623535156,84.44855499267578,127.0,121,242000,12.285783767700195,14.076864242553711
0.0,1.0,0.19219606889656324,-9.982107162475586,0.042609233409166336,-1.0,0.0,-9.970075607299805,0.04625431075692177,-0.9969815611839294,0.0008393548196181655,1905.875,128.0,-232.42694091796875,84.1672134399414,128.0,122,244000,12.028338432312012,1.6407791376113892
0.0,1.0,0.19605920988138417,-9.858881950378418,0.049524515867233276,-1.0,0.0,-9.855563163757324,0.049678463488817215,-0.9979945421218872,0.0006128046079538763,1906.6046511627908,129.0,-232.1756134033203,83.88856506347656,129.0,123,246000,11.582812309265137,0.4923219382762909
0.0,1.0,0.18840904705084133,-9.857507705688477,0.04987344890832901,-1.0,0.0,-9.889572143554688,0.04590789973735809,-1.0,0.0,1907.323076923077,130.0,-231.92813110351562,83.61255645751953,130.0,124,248000,11.44644546508789,1.738103985786438
0.0,1.0,0.18840904705084133,-9.955244064331055,0.0349455326795578,-1.0,0.0,-9.941804885864258,0.03684087097644806,0.42660069465637207,0.4257345199584961,1908.030534351145,131.0,-231.68443298339844,83.33914184570312,131.0,125,250000,11.352402687072754,13.9413423538208
0.0,1.0,0.18105739093859663,-9.278115272521973,0.03103748708963394,-1.0,0.0,-9.291994094848633,0.027622001245617867,-0.6439481973648071,0.1130736693739891,1908.7272727272727,132.0,-233.0025634765625,84.38249206542969,132.0,126,252000,10.980080604553223,19.060531616210938
0.0,1.0,0.17748984505303073,-9.284310340881348,0.032933447510004044,-1.0,0.0,-9.284128189086914,0.03303806856274605,-0.9999998807907104,1.1421523993249139e-07,1909.4135338345864,133.0,-232.75445556640625,84.11298370361328,133.0,127,254000,10.994524955749512,0.8190521001815796
0.0,1.0,0.17748984505303073,-10.482261657714844,0.0351913720369339,-1.0,0.0,-10.540851593017578,0.03149062767624855,-0.9987531900405884,0.00037215056363493204,1910.089552238806,134.0,-232.51004028320312,83.84593200683594,134.0,128,256000,10.951711654663086,14.070623397827148
0.0,1.0,0.17399259391533256,-10.207515716552734,0.03336361050605774,-1.0,0.0,-10.191582679748535,0.037290509790182114,-1.0,0.0,1910.7555555555555,135.0,-232.26925659179688,83.58131408691406,135.0,129,258000,11.396925926208496,14.283320426940918
0.0,1.0,0.18105739093859663,-9.911879539489746,0.014621486887335777,-1.0,0.0,-9.90963363647461,0.015174463391304016,-0.9779390692710876,0.006280828732997179,1911.4117647058824,136.0,-232.03199768066406,83.3190689086914,136.0,130,260000,11.174027442932129,0.8693735003471375
0.0,1.0,0.18469664449646242,-10.001605987548828,0.03382207453250885,-1.0,0.0,-9.999799728393555,0.03495616093277931,-0.9982701539993286,0.0005207424983382225,1912.058394160584,137.0,-231.7982177734375,83.05918884277344,137.0,131,262000,11.772618293762207,1.7106465101242065
0.0,1.0,0.19219606889656324,-10.02653980255127,0.03819705918431282,-1.0,0.0,-10.027931213378906,0.03644824028015137,-0.998714804649353,0.00025422361795790493,1912.695652173913,138.0,-231.5678253173828,82.8016357421875,138.0,132,264000,12.019248962402344,3.0402743816375732
0.0,1.0,0.18469664449646242,-9.7357759475708,0.03644987568259239,-1.0,0.0,-9.733002662658691,0.03545323759317398,0.7792840003967285,0.4694640040397644,1899.7985611510792,139.0,-232.03372192382812,82.68457794189453,139.0,133,266000,11.521875381469727,3.1607909202575684
0.0,1.0,0.19605920988138417,-9.935697555541992,0.03711453452706337,-1.0,0.0,-9.93086051940918,0.0388093926012516,-1.0,0.0,1900.5142857142857,140.0,-233.2858123779297,83.70077514648438,140.0,134,268000,11.294598579406738,2.333718776702881
